name,population,income,educational attainment,unemployment,health insurance coverage,housing cost burden,state,congressional district,composite_score
"Congressional District 1 (116th Congress), Florida",0.2413573113997178,0.9997922755963031,0.29984301412872844,1.0,0.23012681030453663,0.8657382933840817,Florida,01,0.6061429508022279
"Congressional District 2 (116th Congress), Florida",0.2232680988880227,0.9997807654249832,0.23076923076923073,1.0,0.21249810419058998,0.8538768646760008,Florida,02,0.5866988439914712
"Congressional District 3 (116th Congress), Florida",0.22969540262719304,0.99978957949312,0.30612244897959184,1.0,0.22404567275698664,0.8268009887880299,Florida,03,0.5977423487741537
"Congressional District 4 (116th Congress), Florida",0.2521109507740716,0.9998153379249769,0.4960753532182104,1.0,0.2486184579099359,0.8976876255493966,Florida,04,0.6490512875627652
"Congressional District 5 (116th Congress), Florida",0.22647483967831844,0.9997674933397366,0.18681318681318676,1.0,0.2197634648896097,0.7868970482361412,Florida,05,0.5699526721594989
"Congressional District 6 (116th Congress), Florida",0.24059033517813078,0.9997785101751571,0.2370486656200942,1.0,0.2402945391403394,0.8288903321300729,Florida,06,0.5911003970406324
"Congressional District 7 (116th Congress), Florida",0.2382973926494375,0.9998097732759712,0.5023547880690737,1.0,0.23853491848793337,0.865657740387762,Florida,07,0.6407757688116963
"Congressional District 8 (116th Congress), Florida",0.2355074667300643,0.9997870258425523,0.3343799058084772,1.0,0.23513577090574808,0.8512085466729096,Florida,08,0.6093364526599586
"Congressional District 9 (116th Congress), Florida",0.27498017288141635,0.9997796992796198,0.25588697017268447,1.0,0.2747301760239692,0.8487567148474275,Florida,09,0.6090222888675196
"Congressional District 11 (116th Congress), Florida",0.24293395895494654,0.9997648542175996,0.19309262166405022,1.0,0.23980333105320337,0.8287292261374335,Florida,11,0.5840539986712056
"Congressional District 13 (116th Congress), Florida",0.22624846343670466,0.999794130479305,0.3469387755102041,1.0,0.22468328375856209,0.8146676937173698,Florida,13,0.6020553911503576
"Congressional District 15 (116th Congress), Florida",0.24729469640703738,0.9997897999197985,0.26844583987441134,1.0,0.2468266471875474,0.8623550675386529,Florida,15,0.6041186751545746
"Congressional District 16 (116th Congress), Florida",0.26223307108091126,0.9998001074911447,0.36891679748822603,1.0,0.26170588799712763,0.8490587885836266,Florida,16,0.623619108773506
"Congressional District 18 (116th Congress), Florida",0.2400196336083636,0.9998000909966313,0.3626373626373627,1.0,0.23988287766844846,0.861982509930674,Florida,18,0.6173870791402466
"Congressional District 20 (116th Congress), Florida",0.24296958940817204,0.9997737987423422,0.19309262166405022,1.0,0.24066689158446333,0.8077703434074924,Florida,20,0.5807122074677533
"Congressional District 22 (116th Congress), Florida",0.2350393562928602,0.9998136629821207,0.4897959183673469,1.0,0.23538679154763045,0.8459474291007768,Florida,22,0.6343305263817892
"Congressional District 23 (116th Congress), Florida",0.23590984512424892,0.9998225700193328,0.48822605965463106,1.0,0.23699939024578975,0.8453684544397287,Florida,23,0.6343877199139553
"Congressional District 25 (116th Congress), Florida",0.23817452901762542,0.9997870528335742,0.2574568288854003,1.0,0.23803411528378332,0.8323390072850116,Florida,25,0.5942985888842324
"Congressional District 27 (116th Congress), Florida",0.22993959409541959,0.999838871097032,0.5023547880690737,1.0,0.23055673345074454,0.8089635346654785,Florida,27,0.6286089202296247
"Congressional District 38 (116th Congress), California",0.21700236082468527,0.999827549862865,0.24018838304552592,1.0,0.2174705414431675,0.9182890543581689,California,38,0.5987963149224022
"Congressional District 40 (116th Congress), California",0.21757981989420214,0.9997979482093963,0.029827315541601257,1.0,0.2186513598756968,0.8901508858312314,California,40,0.5593345548920213
"Congressional District 42 (116th Congress), California",0.252642950299818,0.9998399537369086,0.2731554160125588,1.0,0.25212872313754137,0.9290982595518232,California,42,0.617810883789775
"Congressional District 44 (116th Congress), California",0.2186275395144798,0.999803224954169,0.07692307692307693,1.0,0.21855045638709797,0.8800867958535346,California,44,0.5656651822720596
"Congressional District 46 (116th Congress), California",0.2242479363517242,0.9998301005144303,0.1805337519623234,1.0,0.22298959084563932,0.9174784898327015,California,46,0.5908466449178031
"Congressional District 47 (116th Congress), California",0.21807649612580254,0.9998469519090751,0.38147566718995285,1.0,0.21858605117602087,0.8795783050642662,California,47,0.6162605785775196
"Congressional District 49 (116th Congress), California",0.22781098167427502,0.9998835832242359,0.5745682888540031,1.0,0.22038343325667556,0.928277625901816,California,49,0.6584873188185009
"Congressional District 51 (116th Congress), California",0.22611853514606337,0.9997975103550417,0.10361067503924648,1.0,0.2165800526802876,0.8614941573904857,California,51,0.5679334884351874
"Congressional District 53 (116th Congress), California",0.23622499033984695,0.9998473342818848,0.4678178963893249,1.0,0.23292765591291348,0.8966958167822099,California,53,0.6389189489510301
"Congressional District 2 (116th Congress), Arkansas",0.23510201674508438,0.9997899723624382,0.3343799058084772,1.0,0.23379338308349917,0.8233019680103913,Arkansas,02,0.6043945410016484
"Congressional District 3 (116th Congress), Arkansas",0.2521576389541602,0.9997940585032468,0.3092621664050235,1.0,0.25201667693241014,0.8374591571135848,Arkansas,03,0.6084482829847376
"Congressional District 1 (116th Congress), Connecticut",0.21780343170410016,0.999835096852476,0.44740973312401877,1.0,0.21732351948892073,0.8583173485981261,Connecticut,01,0.6234481882946069
"Congressional District 3 (116th Congress), Connecticut",0.21853385599522307,0.9998360235442263,0.4364207221350078,1.0,0.21823412704553966,0.858664733394755,Connecticut,03,0.621948243685792
"Congressional District 5 (116th Congress), Connecticut",0.21868405678511335,0.999834530041017,0.42700156985871274,1.0,0.21753677870255447,0.872041565346101,Connecticut,05,0.6225164167889164
"Delegate District (at Large) (116th Congress), District of Columbia",0.21561768769416295,0.9999043318225362,0.7896389324960753,1.0,0.2142060350190819,0.8501764614075629,,98,0.6782572414065698
"Congressional District (at Large) (116th Congress), Alaska",0.22637317002299395,0.9998325566974191,0.3218210361067504,1.0,0.2201008415846181,0.9065786625181873,Alaska,00,0.6124510444883281
"Congressional District 2 (116th Congress), Colorado",0.25106998865354363,0.9998452589722043,0.7315541601255887,1.0,0.25134254258220073,0.8749666460249613,Colorado,02,0.6847964327264164
"Congressional District 4 (116th Congress), Colorado",0.2571766183136844,0.9998291213401375,0.41758241758241754,1.0,0.2552003986616359,0.8880816807382682,Colorado,04,0.6363117061060239
"Congressional District 6 (116th Congress), Colorado",0.2535297185624218,0.9998366773267556,0.5290423861852434,1.0,0.25289168970010617,0.9125244805590378,Colorado,06,0.6579708253889275
"Congressional District (at Large) (116th Congress), Delaware",0.29723139092074624,0.9998084327218857,0.36420722135007855,1.0,0.29464128190763306,0.8384056548203417,Delaware,00,0.6323823302867809
"Congressional District (at Large) (116th Congress), Montana",0.32611233053265687,0.9997908150821205,0.3704866562009419,1.0,0.3239651975820305,0.761104985727016,Montana,00,0.6302433308541276
"Congressional District 2 (116th Congress), Georgia",0.20442542515423995,0.9997705793132353,0.13971742543171112,1.0,0.1958010529867123,0.7709878314629934,Georgia,02,0.5517837190581486
"Congressional District 4 (116th Congress), Georgia",0.23225311628244139,0.9997887277764304,0.35949764521193084,1.0,0.2323219254614168,0.8586949407683749,Georgia,04,0.6137593925834324
"Congressional District 6 (116th Congress), Georgia",0.2332314179507452,0.9998882826610411,0.8477237048665619,1.0,0.23434030475329715,0.922482844729065,Georgia,06,0.7062777591601184
"Congressional District 8 (116th Congress), Georgia",0.218162500668071,0.999788724777428,0.21036106750392464,1.0,0.2121839414883574,0.8271836155205485,Georgia,08,0.5779466416597216
"Congressional District 10 (116th Congress), Georgia",0.23235017855157294,0.9997979122213672,0.2888540031397174,1.0,0.2296900777204478,0.8381388230200325,Georgia,10,0.5981384991088562
"Congressional District 11 (116th Congress), Georgia",0.23878792569944732,0.9998292982812808,0.5164835164835164,1.0,0.23863334581730278,0.8934535586803405,Georgia,11,0.6478646074936479
"Congressional District 12 (116th Congress), Georgia",0.22398132227069192,0.9997857167779923,0.19780219780219782,1.0,0.21642745936777463,0.8154228780578673,Georgia,12,0.5755699290460873
"Congressional District 13 (116th Congress), Georgia",0.23654781453243326,0.9997884833577325,0.315541601255887,1.0,0.23648032536732275,0.8768646760007451,Georgia,13,0.6108704834190201
"Congressional District 14 (116th Congress), Georgia",0.22243754073697294,0.9997861306403274,0.14599686028257458,1.0,0.22126432690254147,0.8645954477487955,Georgia,14,0.5756800510518686
"Congressional District 1 (116th Congress), Hawaii",0.2170634854815118,0.9998564557477705,0.43014128728414436,1.0,0.2096152358077386,0.9196332824842544,Hawaii,01,0.6293849578009033
"Congressional District 2 (116th Congress), Hawaii",0.2191251372233188,0.9998328026156182,0.32339089481946626,1.0,0.21293267013535305,0.9146893423351307,Hawaii,02,0.6116618078548145
"Congressional District 1 (116th Congress), Idaho",0.28043900404282784,0.999788682791394,0.2794348508634223,1.0,0.2794277596020812,0.8548586043186475,Idaho,01,0.6156581502697288
"Congressional District 2 (116th Congress), Idaho",0.25843074883540634,0.9997831346369015,0.32496075353218207,1.0,0.25669352267697576,0.8383351709485619,Idaho,02,0.6130338884383378
"Congressional District 1 (116th Congress), Illinois",0.2166279339067379,0.9998045100267094,0.32339089481946626,1.0,0.21694002432826442,0.7969460345270281,Illinois,01,0.5922848996013677
"Congressional District 2 (116th Congress), Illinois",0.21280134609395016,0.999785946201678,0.22291993720565145,1.0,0.21255598441257764,0.8106249402145731,Illinois,02,0.5764480256880717
"Congressional District 3 (116th Congress), Illinois",0.21759824943897396,0.9998215848470351,0.3124018838304552,1.0,0.21690009626069004,0.8901861277671212,Illinois,03,0.6061513236907126
"Congressional District 4 (116th Congress), Illinois",0.20986951267983397,0.9998067877690537,0.2731554160125588,1.0,0.21080472079757087,0.877801104582962,Illinois,04,0.5952395903069966
"Congressional District 5 (116th Congress), Illinois",0.22662565478636781,0.9998713532923332,0.7441130298273154,1.0,0.2270381111857398,0.8910067614171286,Illinois,05,0.6814424850848141
"Congressional District 6 (116th Congress), Illinois",0.22218536313267861,0.9998666028724867,0.6938775510204082,1.0,0.22243214549911633,0.9340220614518671,Illinois,06,0.6787306206627596
"Congressional District 7 (116th Congress), Illinois",0.2214438811146926,0.9998321593295973,0.543171114599686,1.0,0.2185814083774657,0.7710432116479633,Illinois,07,0.6256786291782341
"Congressional District 8 (116th Congress), Illinois",0.21775152181965954,0.9998138099332397,0.38932496075353207,1.0,0.21818491338085494,0.9092822224571685,Illinois,08,0.6223929047240758
"Congressional District 10 (116th Congress), Illinois",0.21676369821989028,0.9998500003950436,0.5714285714285714,1.0,0.21248727099396125,0.9068454943184965,Illinois,10,0.6512291725593272
"Congressional District 12 (116th Congress), Illinois",0.21196955930658223,0.9997908570681545,0.23233908948194665,1.0,0.20774511654971972,0.8072215761200643,Illinois,12,0.5765110330877445
